1,64
2,14
3,78
4,100
5,90
6,41
7,28
8,32
9,80
10,53
11,48
12,61
13,57
14,6
15,13
16,37
17,86
18,17
19,81
20,91
21,66
22,44
23,56
24,33
25,93
26,55
27,70
28,59
29,25
30,88
31,3
32,85
33,40
34,18
35,45
36,5
37,11
38,23
39,89
40,84
41,1
42,96
43,74
44,15
45,43
46,4
47,76
48,68
49,82
50,92
51,65
52,58
53,27
54,63
55,36
56,67
57,94
58,12
59,29
60,50
61,7
62,35
63,72
64,69
65,8
66,98
67,34
68,30
69,77
70,83
71,10
72,97
73,26
74,62
75,51
76,95
77,75
78,60
79,2
80,21
81,24
82,22
83,16
84,87
85,9
86,73
87,46
88,71
89,52
90,54
91,31
92,19
93,42
94,49
95,20
96,38
97,47
98,39
99,79
100,99
