1,11
2,87
3,20
4,12
5,54
6,73
7,78
8,2
9,84
10,93
11,42
12,97
13,71
14,72
15,19
16,47
17,98
18,83
19,5
20,58
21,64
22,51
23,6
24,17
25,41
26,82
27,53
28,88
29,96
30,8
31,89
32,38
33,4
34,33
35,13
36,1
37,69
38,100
39,7
40,67
41,46
42,52
43,79
44,29
45,26
46,65
47,57
48,86
49,63
50,44
51,92
52,55
53,94
54,62
55,50
56,16
57,10
58,48
59,68
60,85
61,9
62,74
63,95
64,21
65,77
66,70
67,34
68,22
69,24
70,61
71,14
72,3
73,90
74,76
75,60
76,36
77,15
78,43
79,91
80,39
81,81
82,30
83,80
84,75
85,56
86,18
87,59
88,31
89,23
90,49
91,37
92,32
93,35
94,25
95,27
96,45
97,28
98,40
99,66
100,99
