1,95
2,94
3,4
4,59
5,43
6,96
7,39
8,22
9,10
10,2
11,87
12,86
13,73
14,29
15,7
16,65
17,20
18,11
19,17
20,64
21,76
22,81
23,8
24,67
25,21
26,18
27,63
28,19
29,15
30,77
31,42
32,25
33,40
34,82
35,6
36,48
37,66
38,44
39,50
40,69
41,75
42,99
43,23
44,74
45,60
46,35
47,56
48,46
49,83
50,41
51,91
52,30
53,3
54,68
55,79
56,5
57,49
58,71
59,28
60,9
61,98
62,37
63,78
64,93
65,72
66,53
67,38
68,88
69,85
70,90
71,27
72,32
73,89
74,16
75,13
76,51
77,84
78,14
79,97
80,36
81,52
82,70
83,47
84,62
85,100
86,80
87,12
88,45
89,58
90,24
91,33
92,1
93,26
94,31
95,92
96,61
97,34
98,57
99,55
100,54
