1,82
2,44
3,66
4,63
5,48
6,84
7,20
8,39
9,91
10,34
11,95
12,31
13,78
14,98
15,14
16,3
17,56
18,50
19,54
20,67
21,45
22,93
23,4
24,13
25,90
26,94
27,17
28,75
29,6
30,51
31,11
32,60
33,33
34,24
35,41
36,30
37,80
38,27
39,83
40,97
41,92
42,32
43,73
44,19
45,18
46,7
47,74
48,46
49,12
50,61
51,1
52,64
53,88
54,29
55,85
56,15
57,55
58,22
59,36
60,8
61,70
62,76
63,58
64,42
65,2
66,87
67,28
68,23
69,62
70,5
71,59
72,9
73,52
74,71
75,77
76,57
77,38
78,21
79,26
80,69
81,53
82,100
83,37
84,43
85,65
86,96
87,25
88,40
89,68
90,81
91,16
92,99
93,89
94,47
95,10
96,79
97,49
98,86
99,35
100,72
